FJ392383	#cc339e	Cynictis penicillata
MK858230	#69cc33	Homo sapiens
JQ685899	#99aacc	Vulpes vulpes
JQ685943	#99aacc	Vulpes vulpes
OK564514	#99ccb4	Equus caballus
JQ685975	#cc33c9	Spilogale putorius
KX148214	#cc3333	dog
KX148215	#cc3333	dog
JQ685947	#c899cc	Lasiurus cinereus
JQ685919	#7833cc	Lasiurus borealis
MK471250	#cc3333	dog
EU853593	#cc3333	dog
FJ392387	#66cc84	feline
JQ692983	#cc339e	Cynictis penicillata
HQ266616	#cc339e	Cynictis penicillata
JN899142	#cc339e	Cynictis penicillata
FJ392379	#cc339e	Cynictis penicillata
DQ194899	#b999cc	jackal
DQ194898	#b999cc	jackal
FJ392375	#999ccc	Felis catus
FJ392370	#c8cc66	Bos taurus
JX088732	#8f66cc	Felis lybica
U22628	#cc339e	Cynictis penicillata
MK858229	#69cc33	Homo sapiens
JX088728	#c8cc66	Bos taurus
FJ392388	#cc339e	Cynictis penicillata
MG458319	#cc9566	mongoose
FJ545663	#cc3333	dog
KU055534	#999ccc	Felis catus
AF079907	#cc339e	Cynictis penicillata
FJ465402	#cc339e	Cynictis penicillata
JQ692993	#cc339e	Cynictis penicillata
JQ692995	#cc339e	Cynictis penicillata
FJ392369	#cc5633	Galerella sanguinea
FJ392376	#ccac33	Ovis aries
FJ392384	#999ccc	Felis catus
FJ392389	#cc6687	Atilax paludinosus
KT892014	#66cc84	feline
JQ692994	#cc339e	Cynictis penicillata
MK760676	#cc3333	dog
KX148104	#c8cc66	Bos taurus
MG458309	#cc3333	dog
LT909546	#66ccbd	29357361
AF369328	#cc3333	dog
KF734738	#cc3333	dog
MN196575	#cc3333	dog
MN196573	#cc3333	dog
MN196574	#cc3333	dog
MK471247	#cc3333	dog
EU853595	#999ccc	Felis catus
EU853591	#cc3333	dog
EU853592	#69cc33	Homo sapiens
HQ266614	#cc339e	Cynictis penicillata
JQ692987	#c8cc66	Bos taurus
JX088730	#c8cc66	Bos taurus
KT892013	#7266cc	black-backed jackal
JQ692984	#cc5633	Galerella sanguinea
JQ692996	#8f66cc	Felis lybica
HQ266632	#cc339e	Cynictis penicillata
MK760690	#cc3333	dog
KY860591	#99aacc	Vulpes vulpes
KX148201	#cc3333	dog
KU055550	#cc3333	dog
EU827276	#cc3333	dog
EU888696	#cc3333	dog
EU888803	#cc3333	dog
MN196565	#cc3333	dog
MN196566	#cc3333	dog
MN196567	#cc3333	dog
MN196568	#cc3333	dog
U22641	#cc3333	dog
FJ545685	#cc3333	dog
KX148244	#cc3333	dog
FJ545680	#cc3333	dog
JN162083	#99ccac	25685866
FJ465404	#66cc84	feline
HQ266615	#cc5633	Galerella sanguinea
HQ266630	#cc339e	Cynictis penicillata
FJ392377	#cc339e	Cynictis penicillata
FJ392378	#cc339e	Cynictis penicillata
AF369304	#ccbc99	Genetta genetta
AF369305	#69cc33	Homo sapiens
AF369306	#cc4133	Bos
AF467950	#cc339e	Cynictis penicillata
FJ465398	#cc339e	Cynictis penicillata
FJ465395	#cc339e	Cynictis penicillata
MK760747	#99b8cc	Canis lupus
MK760684	#cc3333	dog
KY860597	#cc3333	dog
KX148161	#99aacc	Vulpes vulpes
MF781074	#cc6a66	-
U22631	#cc6a66	-
KC787074	#cc3333	dog
KC787063	#999ccc	Felis catus
AF325479	#69cc33	Homo sapiens
LC380134	#cc3333	dog
U22489	#7fcc33	Camelus
EU853624	#ccc066	dromadery
FJ545677	#cc3333	dog
AY103016	#69cc33	Homo sapiens
AY103017	#69cc33	Homo sapiens
EU888675	#cc3333	dog
KF022172	#cc3333	dog
KF022169	#cc3333	dog
KF022171	#cc3333	dog
KJ921998	#cc3333	dog
LT909548	#66ccbd	29357361
MN196572	#cc3333	dog
MN196571	#cc3333	dog
FJ465407	#999ccc	Felis catus
JN162079	#99ccac	25685866
KX148223	#66cc84	feline
MG458307	#999ccc	Felis catus
HQ266633	#cc5633	Galerella sanguinea
KY553273	#3343cc	Civettictis civetta
EU982551	#ab99cc	Civettictis civetta (African civet)
KY553278	#3343cc	Civettictis civetta
FJ392380	#cc339e	Cynictis penicillata
FJ465401	#cc339e	Cynictis penicillata
KY860598	#99aacc	Vulpes vulpes
KY860599	#cc3333	dog
KX148191	#b999cc	jackal
KX148192	#cc3333	dog
KY860611	#cc3333	dog
U22853	#cc6a66	-
JF327499	#cc3333	dog
KX148211	#cc3333	dog
KC787058	#69cc33	Homo sapiens
KC787051	#cc3333	dog
KC787055	#cc6c33	Sus scrofa
KC787057	#69cc33	Homo sapiens
KC787060	#999ccc	Felis catus
KR906748	#cc3333	dog
KR906752	#cc3333	dog
KJ133668	#cc3333	dog
