state	colour
Molossus sp.	#cc7e66
Molossus spp.	#cc6d33
Mongoose	#ccb499
Mongoose spp.	#ccab66
Monkey	#ccb133
Mus	#ccca99
Mus musculus	#bfcc66
Myotis albescens	#a2cc33
Myotis austroriparius	#b6cc99
Myotis austroriparius (southeastern myotis bat)	#91cc66
Myotis californicus	#5ecc33
Myotis chiloensis	#9fcc99
Myotis chiloensis (bat)	#66cc67
Myotis ciliolabrum	#33cc4b
Myotis daubentoni	#99cca8
Myotis daubentonii	#66cc94
Myotis evotis	#33cc8f
Myotis keenii	#99ccbf
Myotis leibii	#66ccc2
Myotis levis	#33c4cc
Myotis lucifugus	#99c1cc
Myotis nigricans	#66a8cc
Myotis riparius	#3380cc
Myotis septentrionalis	#99abcc
Myotis sp	#667bcc
Myotis sp.	#333ccc
Myotis sp. (insectivorous bat)	#9d99cc
Myotis thysanodes	#7e66cc
Myotis velifer	#6d33cc
Myotis volans	#b499cc
Myotis yumanensis	#ab66cc
Nasua narica	#b133cc
Nasua narica (coati)	#ca99cc
Nycteceius humeralis	#cc66bf
Nyctereutes procyonoides	#cc33a2
Nyctereutes sp.	#cc99b6
Nycticeius humeralis	#cc6691
Nyctinomops laticaudatus	#cc335e
Nyctinomops macrotis	#cc999f
Nyctinomops sp. (insectivorous bat)	#cc7066
Otocyon megalotis	#cc5933
Ovine	#ccad99
Ovis	#cc9d66
Ovis aries	#cc9d33
Panthera tigris	#ccc499
Papio ursinus	#cccb66
Paradoxurus hermaphroditus	#b6cc33
Paradoxurus zeylonensis	#bdcc99
Parastrellus hesperus	#9fcc66
Pecari tajacu	#72cc33
Perimyotis subflavus	#a6cc99
Philantomba monticola	#72cc66
Pipistrellus hesperus	#33cc37
Pipistrellus subflavus	#99cca2
Plecotus auritus	#66cc87
Plecotus townsendii	#33cc7b
Potos flavus	#99ccb8
Procyon lotor	#66ccb4
Procyon lotor (racoon)	#33ccbf
Proteles cristata	#99c8cc
Pseudalopex vetulus	#66b6cc
Pteropus giganteus	#3394cc
Puma Concolor	#99b1cc
Rangifer tarandus	#6688cc
Rangifer tarandus (reindeer)	#3350cc
Rangifer tarandus platyrhynchus (Svalbard reindeer)	#999bcc
Rangifer tarandus platyrhynchus (reindeer)	#7066cc
Rattus	#5933cc
Sambar deer	#ad99cc
Sciuridae	#9d66cc
Sika Deer	#9d33cc
Sika deer	#c499cc
Simiiformes	#cb66cc
Skunk	#cc33b6
South American insectivorous bat	#cc99bd
Species not identified (Bat)	#cc669f
Spilogale putorius	#cc3372
Spilogale sp.	#cc99a6
Spotted skunk	#cc6672
Squirrel	#cc4533
Stenodermatinae sp.	#cca699
Suricata suricatta	#cc9066
Sus	#cc8933
Sus scrofa	#ccbd99
Sus scrofa domesticus	#ccbd66
Tadarida brasiliensis	#cacc33
Tadarida brasiliensis (bat)	#c4cc99
Tadarida brasiliensis (insectivorous bat)	#adcc66
Tadarida brasiliensis mexicana	#86cc33
Tadarida laticaudata	#adcc99
Taiwanese Ferret-badger	#7fcc66
Tragelaphus	#42cc33
Tragelaphus strepsiceros (Kudu)	#99cc9b
Tragelaphus strepsiceros (Namibian kudu)	#66cc79
US big brown bat	#33cc67
US free-tailed bat	#99ccb1
US red bat	#66cca6
Unknown	#33ccab
Urocyon cinereoargenteus	#99ccc8
Ursus arctos	#66c3cc
Ursus maritimus	#33a8cc
Viverridae	#99b8cc
Vulpes	#6696cc
Vulpes chama	#3364cc
Vulpes corsac	#99a2cc
Vulpes lagopus	#6669cc
Vulpes vulpes	#4533cc
Western Canada skunk	#a699cc
african wild civet	#9066cc
badger	#8933cc
bat	#bd99cc
bear	#bd66cc
beaver	#cc33ca
big brown bat	#cc99c4
bitch brain	#cc66ad
black-backed jackal	#cc3386
buff brain	#cc99ad
buffalo	#cc667f
camel	#cc3342
caracol	#cc9f99
cell culture	#cc8266
civet	#cc7433
deer	#ccb699
donkey	#ccb066
dormouse	#ccb833
dromadery	#cacc99
dromedary	#bacc66
duiker	#9bcc33
eland	#b4cc99
elephant	#8dcc66
feline	#57cc33
feline species	#9dcc99
ferret	#66cc6c
ferret badger	#33cc52
field mouse	#99ccab
free tail bat	#66cc99
genet	#33cc96
golden jackal	#99ccc1
ground squirrel	#66ccc6
hognosed skunk	#33bdcc
honey badger	#99bfcc
honeybadger	#66a3cc
hyena	#3379cc
insectivorous bat	#99a8cc
jackal	#6676cc
jackel	#3335cc
jackle	#9f99cc
kinkajou	#8266cc
kudu	#7433cc
leopard	#b699cc
llama	#b066cc
lynx	#b833cc
mammals	#cc99ca
man	#cc66ba
marmoset	#cc339b
marten	#cc99b4
mice	#cc668d
mongoose	#cc3357
monkey	#cc999d
mountain lion	#cc7566
mouse	#cc6033
mule	#ccaf99
nilgai	#cca266
non-hematophagous bat	#cca433
north Asian	#ccc699
north central skunk	#c8cc66
not available	#afcc33
otter	#bbcc99
polar bear	#9acc66
primate	#6bcc33
puma	#a4cc99
rabies patient	#6dcc66
rat	#33cc3e
reindeer	#99cca4
rodent	#66cc8b
sambar deer	#33cc82
side-stripped jackal	#99ccbb
skunk	#66ccb9
skunk (species unknown)	#33ccc6
slothbear	#99c6cc
small-spotted genet	#66b1cc
southern US skunk	#338dcc
spotted deer	#99afcc
spotted skunk	#6684cc
squirrel	#3349cc
stone marten	#9999cc
unidentified bat	#7566cc
unidentified insectivorous bat	#6033cc
unidentified insectivorous bat 2	#af99cc
unidentified tree bat	#a266cc
unknown	#a433cc
vaccine strain	#c699cc
water buffalo	#cc66c8
white albino mouse	#cc33af
wildlife	#cc99bb
woodchuck	#cc669a
yak	#cc336b
yellow bat	#cc99a4
zebra	#cc666d
